aX,aY,aZ,gX,gY,gZ
0.64,-0.179,-0.747,2.686,-3.845,7.935
0.641,-0.169,-0.746,3.845,-2.808,7.629
0.647,-0.157,-0.744,4.211,-1.709,6.958
0.663,-0.149,-0.757,5.859,-0.427,5.859
0.677,-0.15,-0.771,7.019,0.305,5.188
0.686,-0.151,-0.777,6.592,0.488,4.517
0.686,-0.148,-0.769,4.578,0.183,4.395
0.681,-0.146,-0.757,3.418,-0.183,3.967
0.669,-0.145,-0.75,3.845,-0.488,3.845
0.668,-0.152,-0.739,3.418,-0.61,3.357
0.672,-0.159,-0.74,3.357,-0.732,3.357
0.674,-0.164,-0.736,2.563,-0.732,3.418
0.675,-0.161,-0.727,1.099,-0.549,3.967
0.683,-0.16,-0.735,0.916,0.061,3.967
0.689,-0.153,-0.742,2.136,-0.305,3.845
0.694,-0.151,-0.744,2.747,-0.854,3.784
0.697,-0.151,-0.746,3.967,-2.136,3.601
0.691,-0.152,-0.746,4.089,-2.136,2.563
0.682,-0.153,-0.743,4.7,-2.686,1.648
0.681,-0.155,-0.739,5.188,-2.441,1.282
0.684,-0.159,-0.74,6.287,-1.099,0.61
0.684,-0.165,-0.742,5.981,-0.183,0.977
0.682,-0.167,-0.746,6.165,-0.305,1.953
0.677,-0.172,-0.745,4.822,0.122,2.869
0.677,-0.172,-0.753,2.747,-0.061,3.601
0.674,-0.165,-0.757,2.075,-0.854,3.723
0.667,-0.166,-0.756,0.061,-0.61,4.944
,,,,,
0.638,0.281,2.024,52.368,56.641,-9.338
0.701,0.365,2.301,52.307,85.815,-6.409
0.694,0.389,2.53,41.443,121.704,-5.615
0.686,0.382,2.656,17.883,157.959,-9.277
0.671,0.364,2.629,-7.629,187.866,-16.846
0.591,0.418,2.611,-27.039,221.863,-27.283
0.506,0.371,2.424,-31.494,253.235,-40.588
0.385,0.371,2.148,-21.301,284.058,-59.814
0.236,0.32,1.873,-14.954,314.941,-80.933
0.094,0.269,1.581,-15.747,340.454,-94.788
-0.016,0.348,1.287,-13.977,361.572,-88.684
-0.068,0.016,1.073,9.644,387.878,-60.974
-0.116,-0.105,0.948,7.874,404.114,-53.955
-0.141,-0.158,0.779,-6.775,399.353,-58.533
-0.148,-0.2,0.592,-28.259,394.653,-63.171
-0.161,-0.211,0.413,-41.809,388.489,-69.58
-0.183,-0.202,0.254,-53.589,386.414,-71.96
-0.232,-0.181,0.109,-67.383,381.165,-66.833
-0.225,-0.155,-0.069,-75.439,367.432,-61.035
-0.175,-0.144,-0.232,-76.904,357.727,-62.195
-0.084,-0.137,-0.398,-68.604,341.309,-66.04
0.027,-0.142,-0.528,-52.612,328.613,-68.848
0.147,-0.14,-0.658,-32.654,314.697,-64.575
0.294,-0.191,-0.798,-0.366,303.284,-57.861
0.455,-0.172,-0.87,27.832,296.509,-46.143
0.481,-0.235,-0.862,47.119,285.034,-20.203
0.572,-0.29,-0.789,60.791,255.432,3.723
0.586,-0.356,-0.737,62.378,209.778,18.433
0.525,-0.29,-0.73,59.265,154.114,24.048
0.495,-0.301,-0.701,58.96,113.159,37.964
0.502,-0.365,-0.672,69.641,92.712,48.95
0.509,-0.301,-0.663,72.632,85.449,41.809
0.517,-0.292,-0.747,59.143,83.435,32.593
